rule_code,step_no,step_type,source,target,condition,expression
表1-1-R002,1,COMPUTE,,ID是否一致,"","ID1 - ID3"
表1-1-R002,2,RECODE,ID是否一致,,"",""
表1-1-R003,1,COMPUTE,,人员配备1,"","A121-A122-A123"
表1-1-R003,2,RECODE,人员配备1,,"",""
表1-1-R004,1,COMPUTE,,人员配备2,"","A21-A22-A23"
表1-1-R004,2,RECODE,人员配备2,,"",""
表1-1-R005,1,COMPUTE,,人员配备3,"","A221-A222-A223"
表1-1-R005,2,RECODE,人员配备3,,"",""
表1-1-R006,1,RECODE,city,,"",""
表1-1-R007,1,RECODE,county,,"",""
表1-1-R008,1,RECODE,point,,"",""
表1-1-R009,1,RECODE,A131,,"",""
表1-1-R009,2,RECODE,A132,,"",""
表1-1-R009,3,RECODE,A133,,"",""
表1-1-R009,4,IFASSIGN,,,"",""
表1-1-R009,5,IFASSIGN,,,"",""
表1-1-R009,6,RECODE,学生常见病项目经费1,,"",""
表1-1-R010,1,RECODE,A134,,"",""
表1-1-R010,2,RECODE,A135,,"",""
表1-1-R010,3,IFASSIGN,,,"",""
表1-1-R010,4,IFASSIGN,,,"",""
表1-1-R010,5,RECODE,配套经费1,,"",""
表1-1-R011,1,RECODE,A311,,"",""
表1-1-R011,2,RECODE,A312,,"",""
表1-1-R011,3,RECODE,A313,,"",""
表1-1-R011,4,IFASSIGN,,,"",""
表1-1-R011,5,IFASSIGN,,,"",""
表1-1-R011,6,RECODE,学生常见病项目经费2,,"",""
表1-1-R012,1,RECODE,A231,,"",""
表1-1-R012,2,RECODE,A232,,"",""
表1-1-R012,3,RECODE,A233,,"",""
表1-1-R012,4,IFASSIGN,,,"",""
表1-1-R012,5,IFASSIGN,,,"",""
表1-1-R012,6,RECODE,业务经费3,,"",""
表1-1-R013,1,RECODE,A411,,"",""
表1-1-R013,2,RECODE,A4111,,"",""
表1-1-R013,3,RECODE,A4112,,"",""
表1-1-R013,4,RECODE,A4121,,"",""
表1-1-R013,5,RECODE,A4122,,"",""
表1-1-R013,6,RECODE,A4123,,"",""
表1-1-R013,7,IFASSIGN,,,"",""
表1-1-R013,8,IFASSIGN,,,"",""
表1-1-R013,9,RECODE,学校情况,,"",""
表1-1-R013,10,IFASSIGN,,,"",""
